codigo;descricao;vigencia_inicio;vigencia_fim
1321;VALIDADE DA GUIA EXPIRADA;2006-11-16;
1322;COMPROVANTE PRESENCIAL OU GTO NÃO ENVIADO;2013-04-01;
1323;DATA PREENCHIDA INCORRETAMENTE;2013-04-01;
1401;ACOMODAÇÃO NÃO AUTORIZADA;2006-11-16;2026-06-30
1402;PROCEDIMENTO NÃO AUTORIZADO;2006-11-16;2026-06-30
1403;NÃO EXISTE INFORMAÇÃO SOBRE A SENHA DE AUTORIZAÇÃO DO PROCEDIMENTO;2006-11-16;2026-06-30
1404;NÃO EXISTE GUIA DE AUTORIZAÇÃO RELACIONADA;2006-11-16;2026-06-30
1405;DATA DE VALIDADE DA SENHA É ANTERIOR A DATA DO ATENDIMENTO;2006-11-16;2026-06-30
1406;NÚMERO DA SENHA INFORMADO DIFERENTE DO LIBERADO;2006-11-16;2026-06-30
1407;SERVIÇO SOLICITADO NÃO POSSUI COBERTURA;2006-11-16;2026-06-30
1408;QUANTIDADE SERVIÇO SOLICITADA ACIMA DA AUTORIZADA;2006-11-16;2026-06-30
1409;QUANTIDADE SERVIÇO SOLICITADA ACIMA COBERTA;2006-11-16;2026-06-30
1410;SERVIÇO SOLICITADO EM CARÊNCIA;2006-11-16;2026-06-30
1411;SOLICITANTE NÃO INFORMADO;2006-11-16;
1412;PROBLEMAS NO SISTEMA AUTORIZADOR;2006-11-16;2026-06-30
1413;ACOMODAÇÃO NÃO POSSUI COBERTURA;2006-11-16;2026-06-30
1414;DATA DE VALIDADE DA SENHA EXPIRADA;2006-11-16;
1415;PROCEDIMENTO NÃO AUTORIZADO PARA O BENEFICIÁRIO;2006-11-16;2026-06-30
1416;SOLICITANTE NÃO CADASTRADO;2006-11-16;2026-06-30
1417;SOLICITANTE NÃO HABILITADO;2006-11-16;
1418;SOLICITANTE SUSPENSO;2006-11-16;2026-06-30
1419;SERVIÇO SOLICITADO JÁ AUTORIZADO;2006-11-16;2026-06-30
1420;SERVIÇO SOLICITADO FORA DA COBERTURA;2006-11-16;2026-06-30
1421;SERVIÇO SOLICITADO É DE PRÉ-EXISTÊNCIA;2006-11-16;2026-06-30
1422;ESPECIALIDADE NÃO CADASTRADA PARA O SOLICITANTE;2006-11-16;
1423;QUANTIDADE SOLICITADA ACIMA DA QUANTIDADE PERMITIDA;2006-11-16;2026-06-30
1424;QUANTIDADE AUTORIZADA ACIMA DA QUANTIDADE PERMITIDA;2006-11-16;2026-06-30
1425;NECESSITA PRÉ-AUTORIZAÇÃO DA EMPRESA;2006-11-16;
1426;NÃO AUTORIZADO PELA AUDITORIA;2016-05-01;
1427;NECESSIDADE DE AUDITORIA MÉDICA;2006-11-16;
1428;FALTA DE AUTORIZAÇÃO DA EMPRESA DE CONECTIVIDADE;2006-11-16;2026-06-30
1429;CBO-S (ESPECIALIDADE) NÃO AUTORIZADO A REALIZAR O SERVIÇO;2006-11-16;2026-06-30
1430;PROCEDIMENTO ODONTOLÓGICO NÃO AUTORIZADO;2007-05-11;2026-06-30
1431;PROCEDIMENTO NÃO AUTORIZADO NA FACE SOLICITADA;2007-05-11;
1432;PROCEDIMENTO NÃO AUTORIZADO PARA DENTE/REGIÃO SOLICITADA;2007-05-11;
1433;PROCEDIMENTO NÃO AUTORIZADO, DENTE AUSENTE;2007-05-11;2026-06-30
1434;COBRANÇA DE CONTA DE CTI NEONATAL NA SENHA DO PARTO;2012-10-10;
1435;VIGÊNCIA DO ACORDO POSTERIOR À DATA DE REALIZAÇÃO DO PROCEDIMENTO;2012-10-10;2026-06-30
