codigo;descricao;vigencia_inicio;vigencia_fim
2302;COBRANÇA DE OXIGENOTERAPIA SEM PRESCRIÇÃO MÉDICA.;2006-11-16;2026-06-30
2303;COBRANÇA DE OXIGENOTERAPIA COM QUANTITATIVO DE USO EM DIVERGÊNCIA/PAGO VALOR CORRIGIDO.;2006-11-16;2026-06-30
2304;COBRANÇA DE OXIGÊNIO INCLUSO NA TAXA DE NEBULIZAÇÃO ESPECIFICADA.;2006-11-16;2026-06-30
2305;COBRANÇA DE OXIGENOTERAPIA EM USO PROLONGADO  SEM  JUSTIFICATIVA DE USO.;2006-11-16;2026-06-30
2306;COBRANÇA DE OXIGENOTERAPIA SEM REGISTRO DE CONTROLE DE USO (ENTRADA E SAÍDA).;2006-11-16;2026-06-30
2307;COBRANÇA DE GASES EM QUANTIDADE SUPERIOR AO PERÍODO DE PERMANÊNCIA;2006-11-16;2026-06-30
2308;COBRANÇA DE CO2 NAS CIRURGIAS VIDEOLAPAROSCÓPICAS DURANTE TODA A REALIZAÇÃO DO PROCEDIMENTO (INÍCIO AO FIM).;2006-11-16;2026-06-30
2309;COBRANÇA DE AR COMPRIMIDO SEM REGISTRO NO BOLETIM ANESTÉSICO E DURAÇÃO DE USO.;2006-11-16;2026-06-30
2310;COBRANÇA DE GASES INCOMPATÍVEL COM O UTILIZADO/ PRESCRITO.;2006-11-16;2026-06-30
2401;TAXA / ALUGUEL INVÁLIDO;2006-11-16;2026-06-30
2402;COBRANÇA DE TAXA POR USO DE EQUIPAMENTO INCOMPATÍVEL COM O PROCEDIMENTO REALIZADO/USO PREVISTO NO PROCEDIMENTO.;2006-11-16;2026-06-30
2403;COBRANÇA DE TAXA DE USO DE BOMBA DE INFUSÃO EM PACIENTE INTERNADO NA UTI;2006-11-16;2026-06-30
2404;COBRANÇA DE OUTRAS TAXAS ASSOCIADAS/INCLUSAS NA COBRANÇA DA TAXA DE SALA PREVISTA.;2006-11-16;2026-06-30
2405;COBRANÇA DE MAIS DE UMA TAXA DE SALA DE CIRURGIA, POR CONTA DO NÚMERO DE PROCEDIMENTOS REALIZADOS NO MESMO TEMPO CIRÚRGICO.;2006-11-16;2026-06-30
2406;COBRANÇA INDEVIDA DE TAXA DE SALA POR ADMINISTRAÇÃO DE MEDICAMENTOS.;2006-11-16;2026-06-30
2407;COBRANÇA DE TAXAS, DE SERVIÇOS REALIZADOS EM AMBIENTES INCOMPATÍVEIS COM O USO DE EQUIPAMENTOS.;2006-11-16;2026-06-30
2408;COBRANÇA DE TAXAS EM QUANTIDADE SUPERIOR AO TEMPO DE PERMANÊNCIA HOSPITALAR;2006-11-16;2026-06-30
2409;COBRANÇA DE TAXA DE OBSERVAÇÃO EM PRONTO SOCORRO COM PERMANÊNCIA MENOR QUE O PERÍODO ESTIPULADO;2006-11-16;2026-06-30
2410;COBRANÇA DE TAXA DE OBSERVAÇÃO EM PRONTO SOCORRO SEM O REGISTRO DA PERMANÊNCIA.;2006-11-16;2026-06-30
2411;COBRANÇA DE TAXA DE SALA DE PRONTO SOCORRO, PARA APLICAÇÃO DE MEDICAMENTOS.;2006-11-16;2026-06-30
2412;COBRANÇA DE TAXA DE RECUPERAÇÃO ANESTÉSICA NÃO JUSTIFICADA PARA O PROCEDIMENTO.;2006-11-16;2026-06-30
2413;COBRANÇA DE TAXA INCLUSA NO PACOTE NEGOCIADO.;2006-11-16;2026-06-30
2414;COBRANÇA DE TAXA DE EQUIPAMENTO EM CONCOMITÂNCIA COM A COBRANÇA DE TAXA PARA O PROCEDIMENTO.;2006-11-16;2026-06-30
2415;TAXA EXIGE INFORMAÇÃO DO VALOR NA GUIA.;2006-11-16;2026-06-30
2416;COBRANÇA DE TAXA DE RECUPERAÇÃO ANESTÉSICA PARA PACIENTES COM PÓS-OPERATÓRIO IMEDIATO REALIZADO NA UTI/CTI.;2006-11-16;2026-06-30
2417;COBRANÇA DE TAXA DE RECUPERAÇÃO ANESTÉSICA SEM A PRESENÇA DO ANESTESISTA.;2006-11-16;2026-06-30
2418;COBRANÇA DE TAXA DE SALA INCOMPATÍVEL COM O PROCEDIMENTO.;2006-11-16;2026-06-30
2419;COBRANÇA DE TAXA DE OBSERVAÇÃO PARA ATENDIMENTO QUE GEROU UMA INTERNAÇÃO.;2006-11-16;2026-06-30
2420;COBRANÇA DE TAXA DE SALA CIRÚRGICA COM PORTE ANESTÉSICO DIFERENTE DO PROCEDIMENTO AUTORIZADO/REALIZADO.;2006-11-16;2026-06-30
2421;COBRANÇA DE TAXA EM QUANTIDADE INCORRETA.;2006-11-16;2026-06-30
2422;COBRANÇA DE TAXA POR USO DE EQUIPAMENTO DE USO OBRIGATÓRIO NA SALA DE CIRURGIA, CUJA TAXA DE SALA CIRÚRGICA JÁ INCLUI SEU USO.;2006-11-16;2026-06-30
2423;COBRANÇA DE TAXA DE EQUIPAMENTOS DE USO OBRIGATÓRIO NO LOCAL DE ATENDIMENTO.;2006-11-16;2026-06-30
2501;PROCEDIMENTO EM SÉRIE INVÁLIDO;2006-11-16;2026-06-30
2502;COBRANÇA DE DUAS AVALIAÇÕES FISIOTERÁPICAS;2006-11-16;
2503;COBRANÇA DE PSICOTERAPIA INDIVIDUAL, QUANDO O APLICADO É A COBRANÇA DE PSICOTERAPIA EM GRUPO;2006-11-16;
2505;O CÓDIGO COBRADO É DIFERENTE DO CÓDIGO AUTORIZADO;2006-11-16;
2506;A QUANTIDADE DE SESSÕES COBRADAS É DIFERENTE DA QUANTIDADE AUTORIZADA;2006-11-16;
2507;O CÓDIGO AUTORIZADO ESTÁ INCOMPATÍVEL COM A PRESCRIÇÃO MÉDICA SOLICITADA;2006-11-16;
2508;COBRANÇA DE SESSÕES SEM O DEVIDO PLANO DE TRATAMENTO E, OU, COM O PRAZO DE PAGAMENTO EXPIRADO;2006-11-16;2026-06-30
2509;COBRANÇA DO PROCEDIMENTO SERIADO INCOMPATÍVEL COM O QUADRO CLÍNICO;2006-11-16;
2510;COBRANÇA DO PROCEDIMENTO SERIADO EM NÚMERO DE SESSÕES ACIMA DA QUANTIDADE ESTABELECIDA;2006-11-16;2026-06-30
2512;COBRANÇA DE SESSÕES DE FISIOTERAPIA EM DESACORDO COM AS EVOLUÇÕES DO PRONTUÁRIO MÉDICO;2006-11-16;
2513;COBRANÇA DE TRATAMENTO SERIADO SEM JUSTIFICATIVA CLÍNICA/TÉCNICA;2006-11-16;
2514;SERVIÇO NÃO CONTRATADO PARA O PRESTADOR;2006-11-16;2026-06-30
2515;LOCAL DE ATENDIMENTO INADEQUADO;2006-11-16;2026-06-30
2516;QUANTIDADE COBRADA DIFERENTE DA REALIZADA;2006-11-16;
2602;COBRANÇA DE HONORÁRIO INCLUSO NO PROCEDIMENTO PRINCIPAL;2006-11-16;2026-06-30
2603;COBRANÇA DE HONORÁRIO SEM REGISTRO DA EFETIVA PARTICIPAÇÃO DO PROFISSIONAL;2006-11-16;
2604;PROCEDIMENTO PRINCIPAL NÃO REQUER EQUIPE MÉDICA;2006-11-16;
2606;COBRANÇA DO HONORÁRIO EM LOCAL DE ATENDIMENTO INCORRETO (INEXISTENTE).;2006-11-16;2026-06-30
2608;COBRANÇA DE CONSULTA INDEVIDA, QUANDO O PROCEDIMENTO PRINCIPAL JÁ ESTÁ SENDO REMUNERADO.;2006-11-16;2026-06-30
2609;LOCAL DE ATENDIMENTO NÃO INFORMADO.;2006-11-16;2026-06-30
2610;GRAU DE PARTICIPAÇÃO DE AUXILIAR INCOMPATÍVEL COM PROCEDIMENTO COBRADO;2012-10-10;2026-06-30
2611;COBRANÇA DE ESPECIALISTA NÃO JUSTIFICADA NO EVENTO;2012-10-10;
2612;"COBRANÇA INDEVIDA DE EQUIPE ""STAND-BY"", JÁ QUE ANGIOPLASTIA SEGUIDA DE CIRURGIA CARDÍACA";2012-10-10;2026-06-30
2613;"HONORÁRIO MÉDICO DO ANESTESISTA JÁ LIBERADO NO PROCEDIMENTO CIRÚRGICO, POIS ""ANALGESIA POR DIA SUBSEQUENTE"" COBRADA NA MESMA DATA DO EVENTO CIRÚRGICO";2012-10-10;2026-06-30
2614;COBRANÇA DE CADA PARTICIPANTE DA EQUIPE DEVE SER FEITA EM GUIAS DIFERENTES;2012-10-10;2026-06-30
2702;COBRANÇA DE EXAME NÃO SOLICITADO PELO MÉDICO;2006-11-16;2026-06-30
2703;EXAME SEM REGISTRO DE EXECUÇÃO;2006-11-16;2026-06-30
2704;COBRANÇA DE EXAME NÃO CORRELACIONADO AO RELATÓRIO ESPECÍFICO;2006-11-16;2026-06-30
2705;COBRANÇA DE PROCEDIMENTO/EXAME SEM JUSTIFICATIVA PARA REALIZAÇÃO OU COM JUSTIFICATIVA INSUFICIENTE.;2006-11-16;2026-06-30
2706;COBRANÇA DE PROCEDIMENTO/EXAME COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2006-11-16;2026-06-30
2707;EXAME NÃO AUTORIZADO;2006-11-16;2026-06-30
2708;COBRANÇA DE EXAME EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO/EVOLUÇÃO CLÍNICA;2006-11-16;2026-06-30
2710;COBRANÇA DE EXAME QUE EXIGE AUTORIZAÇÃO PRÉVIA;2006-11-16;2026-06-30
2711;COBRANÇA DE EXAME COM HISTÓRIA CLÍNICA/HIPÓTESE DIAGNÓSTICA NÃO COMPATÍVEL;2006-11-16;2026-06-30
2712;COBRANÇA DE EXAME EM QUANTIDADE ACIMA DA MÁXIMA PERMITIDA/AUTORIZADA;2006-11-16;2026-06-30
2713;COBRANÇA DE EXAME NÃO COMPATÍVEL COM A IDADE.;2006-11-16;2026-06-30
2714;COBRANÇA DE EXAME COM AUSÊNCIA DE RESULTADO OU LAUDO TÉCNICO.;2006-11-16;2026-06-30
2715;EXAME REALIZADO PELO MESMO PROFISSIONAL, NA MESMA ESPECIALIDADE, NO PRAZO INFERIOR AO ESTIPULADO SEM JUSTIFICATIVA ADEQUADA.;2006-11-16;2026-06-30
2716;EXAME COBRADO NÃO CORRESPONDE AO EXAME EXECUTADO;2006-11-16;2026-06-30
2717;COBRANÇA DE EXAME AMBULATORIAL COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2006-11-16;2026-06-30
2718;EXAMES NÃO JUSTIFICAM CARÁTER DE URGÊNCIA;2006-11-16;2026-06-30
2801;PACOTE INVÁLIDO;2006-11-16;2026-06-30
2802;PACOTE INCOMPATÍVEL COM O SEXO DO BENEFICIÁRIO;2006-11-16;2026-06-30
2803;IDADE DO BENEFICIÁRIO INCOMPATÍVEL COM O PACOTE;2006-11-16;2026-06-30
2804;VALOR TOTAL DO PACOTE DIFERENTE DO VALOR PROCESSADO;2006-11-16;2026-06-30
2805;VALOR DO PACOTE SUPERIOR AO VALOR DOS ITENS;2006-11-16;2026-06-30
2806;COBRANÇA DE PACOTE NÃO EXECUTADO;2006-11-16;2026-06-30
2807;COBRANÇA DE PACOTE NÃO SOLICITADO PELO MÉDICO;2006-11-16;2026-06-30
2808;PACOTE SEM REGISTRO DE EXECUÇÃO;2006-11-16;2026-06-30
2809;COBRANÇA DE PACOTE NÃO CORRELACIONADO AO RELATÓRIO ESPECÍFICO;2006-11-16;2026-06-30
2810;COBRANÇA DE PACOTE SEM JUSTIFICATIVA PARA REALIZAÇÃO OU COM JUSTIFICATIVA INSUFICIENTE.;2006-11-16;2026-06-30
2811;COBRANÇA DE PACOTE COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2006-11-16;2026-06-30
2812;PACOTE NÃO AUTORIZADO;2006-11-16;2026-06-30
2813;COBRANÇA DE PACOTE EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO/EVOLUÇÃO CLÍNICA;2006-11-16;2026-06-30
2814;ITENS DE COMPOSIÇÃO DO PACOTE NÃO REALIZADOS;2006-11-16;
2815;COBRANÇA DO PACOTE EXIGE AUTORIZAÇÃO PRÉVIA;2006-11-16;2026-06-30
2816;COBRANÇA DE PACOTE COM HISTÓRIA CLÍNICA/HIPÓTESE DIAGNÓSTICA NÃO COMPATÍVEL;2006-11-16;2026-06-30
2817;COBRANÇA DE PACOTE EM QUANTIDADE ACIMA DA MÁXIMA PERMITIDA/AUTORIZADA;2006-11-16;2026-06-30
2818;COBRANÇA DE PACOTE NÃO COMPATÍVEL COM A IDADE.;2006-11-16;2026-06-30
2819;COBRANÇA DE PACOTE COM AUSÊNCIA DE RESULTADO OU LAUDO TÉCNICO.;2006-11-16;2026-06-30
2820;PACOTE REALIZADO PELO MESMO PROFISSIONAL, NA MESMA ESPECIALIDADE, NO PRAZO INFERIOR AO ESTIPULADO SEM JUSTIFICATIVA ADEQUADA.;2006-11-16;2026-06-30
2821;PACOTE COBRADO NÃO CORRESPONDE AO EXAME EXECUTADO;2006-11-16;2026-06-30
2822;COBRANÇA DE PACOTE AMBULATORIAL COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2006-11-16;2026-06-30
2901;REVISÃO DE GLOSA INVÁLIDA;2006-11-16;2026-06-30
2902;GLOSA MANTIDA;2006-11-16;
2903;PEDIDO DE REVISÃO SEM JUSTIFICATIVA;2006-11-16;
2904;MAIS DE UM RECURSO DE GLOSA PARA A MESMA GUIA/PROTOCOLO;2006-11-16;
2905;A GUIA NÃO É DE REVISÃO;2006-11-16;
2907;PRAZO DE 180 DIAS ULTRAPASSADO PARA SOLICITAÇÃO DE REANÁLISE;2012-10-10;2026-06-30
2908;SOLICITAÇÃO DE REANÁLISE EFETUADA DE FORMA INCORRETA;2012-10-10;
2909;PRAZO PARA SOLICITAÇÃO DE RECURSO DE GLOSA PRESCRITO;2013-04-01;
3001;PROCEDIMENTO ODONTOLÓGICO INVÁLIDO;2007-05-11;2026-06-30
3002;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO QUE EXIGE AUTORIZAÇÃO PRÉVIA;2007-05-11;2026-06-30
3003;IDADE DO BENEFICIÁRIO INCOMPATÍVEL COM O PROCEDIMENTO ODONTOLÓGICO;2007-05-11;2026-06-30
3004;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO EM QUANTIDADE ACIMA DA MÁXIMA PERMITIDA/AUTORIZADA;2007-05-11;2026-06-30
3007;PROCEDIMENTOS ODONTOLÓGICOS DUPLICADOS;2007-05-11;2026-06-30
3008;PROCEDIMENTO ODONTOLÓGICO INCLUSO NO PROCEDIMENTO PRINCIPAL;2016-05-01;2026-06-30
3009;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO NÃO EXECUTADO;2007-05-11;2026-06-30
3010;COBRANÇA DE PROCEDIMENTO NÃO SOLICITADO PELO CIRURGIÃO-DENTISTA;2007-05-11;2026-06-30
3011;PROCEDIMENTO ODONTOLÓGICO SEM REGISTRO DE EXECUÇÃO;2007-05-11;2026-06-30
3012;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO NÃO CORRELACIONADO AO RELATÓRIO ESPECÍFICO;2007-05-11;2026-06-30
3013;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO SEM JUSTIFICATIVA PARA REALIZAÇÃO OU COM JUSTIFICATIVA INSUFICIENTE.;2007-05-11;2026-06-30
3014;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO.;2007-05-11;2026-06-30
3015;COBRANÇA DE PROCEDIMENTO ODONTOLÓGICO COM AUSÊNCIA DE RESULTADO OU LAUDO TÉCNICO.;2007-05-11;2026-06-30
3016;PROCEDIMENTO ODONTOLÓGICO REALIZADO, NA MESMA ESPECIALIDADE, NO PRAZO INFERIOR AO ESTIPULADO, SEM JUSTIFICATIVA;2016-05-01;2026-06-30
3017;PROCEDIMENTO COBRADO NÃO CORRESPONDE A PERÍCIA (ESPECIFICAR).;2007-05-11;2026-06-30
3018;EVENTO GLOSADO POR AUDITORIA (ESPECIFICAR);2007-05-11;2026-06-30
3019;EVENTO SOB ANÁLISE TÉCNICA, AGUARDANDO LIBERAÇÃO DE CONFIRMAÇÃO PARA POSTERIOR PAGAMENTO;2007-05-11;
3020;CONFORME DOCUMENTAÇÃO RADIOGRÁFICA ENVIADA, EVENTO REALIZADO INADEQUADAMENTE;2007-05-11;
3021;FALHA EM INFORMAÇÃO DE DADOS DE ARCADAS/HEMI-ARCOS;2007-05-11;
3022;FALHA EM INFORMAÇÃO DE DADOS DE DENTE INICIAL E/OU FINAL;2007-05-11;
3023;FALHA EM INFORMAÇÃO DE DADOS DE FACES DOS DENTES;2007-05-11;
3024;EVENTO SÓ POSSÍVEL EM DENTES DECÍDUOS;2007-05-11;
3025;EVENTO SÓ POSSÍVEL EM DENTES PERMANENTES;2007-05-11;
3026;ERRO NAS INFORMAÇÕES DE ORDEM DOS DENTES INICIAL E FINAL;2007-05-11;
3027;DESACORDO ENTRE O TIPO DE DENTE E O NÚMERO DE CANAIS SOLICITADOS;2007-05-11;
3029;EVENTO NÃO INDICADO PELA AUDITORIA INICIAL;2007-05-11;
3030;AUDITORIA FINAL CONSTA QUE A RESTAURAÇÃO FOI REALIZADA EM OUTRO MATERIAL;2007-05-11;
3031;RADIOGRAFIA FORA DOS PADRÕES TÉCNICOS;2007-05-11;
3032;INTERVALO DA ÚLTIMA MPP INFERIOR A TRÊS MESES;2007-05-11;
3033;INTERVALO DA ÚLTIMA MPP INFERIOR A QUATRO MESES;2007-05-11;
3034;JUSTIFICATIVA TECNICAMENTE NÃO SATISFATÓRIA;2007-05-11;2026-06-30
3035;PACIENTE EM TRATAMENTO COM O MESMO PROFISSIONAL;2007-05-11;2026-06-30
3036;PACIENTE EM TRATAMENTO COM OUTRO PROFISSIONAL;2007-05-11;2026-06-30
3037;PROCEDIMENTO COBRADO NÃO É IGUAL AO EXECUTADO;2007-05-11;2026-06-30
3038;RADIOGRAFIA INICIAL INCONGRUENTE COM A RADIOGRAFIA FINAL;2007-05-11;
3039;RADIOGRAFIA NÃO CORRESPONDE AO PROCEDIMENTO COBRADO;2007-05-11;
3040;GLOSA TÉCNICA (ESPECIFICAR DETALHADAMENTE);2007-05-11;
3041;AGUARDANDO DOCUMENTAÇÃO DE ORTODONTIA;2013-04-01;
3045;APÓS ANÁLISE DA RADIOGRAFIA INICIAL, VERIFICOU-SE EXODONTIA DE FRAGMENTO RADICULAR;2013-04-01;
3046;AUDITORIA FINAL CONSTA QUE O PROCEDIMENTO FOI REALIZADO COM OUTRO MATERIAL;2013-04-01;
3047;AUSÊNCIA DE IMAGEM/FOTO/RADIOGRAFIA/ DIAGNÓSTICO PÓS PROCEDIMENTO ODONTOLÓGICO;2013-04-01;
3048;CANCELAMENTO DO PROCEDIMENTO ODONTOLÓGICO POR SOLICITAÇÃO DO BENEFICIÁRIO.;2013-04-01;2026-06-30
3049;CANCELAMENTO DO PROCEDIMENTO ODONTOLÓGICO POR SOLICITAÇÃO DO PRESTADOR.;2013-04-01;2026-06-30
3051;DOCUMENTAÇÃO EM ANÁLISE;2013-04-01;
3052;DOCUMENTAÇÃO INCOMPLETA, INCORRETA OU AUSENTE;2013-04-01;2026-06-30
3055;IDENTIFICADO TRATAMENTO ENDODÔNTICO E NÃO RETRATAMENTO;2013-04-01;
3056;NA AUDITORIA FOI CONSTATADA DIVERGÊNCIA NA QUANTIDADE DE FACES RESTAURADAS;2013-04-01;
3057;NÃO APRESENTA A QUANTIDADE MÍNIMA DE ELEMENTOS DENTÁRIOS POR SEGMENTO;2013-04-01;
3058;NECESSÁRIA AUDITORIA FINAL;2013-04-01;2026-06-30
3059;NECESSÁRIA AUDITORIA INICIAL;2013-04-01;2026-06-30
3060;NECESSÁRIA AUDITORIA INTERMEDIÁRIA;2013-04-01;2026-06-30
3061;NECESSÁRIA AVALIAÇÃO DO ESPECIALISTA;2013-04-01;
3062;NECESSÁRIO ENVIAR LAUDO OU RELATÓRIO TÉCNICO SOBRE O TRATAMENTO SOLICITADO.;2013-04-01;2026-06-30
3063;O PLANO DE TRATAMENTO AUTORIZADO SERÁ CANCELADO DEVIDO À TROCA DE PROFISSIONAL;2013-04-01;
3064;PROCEDIMENTO AUTORIZADO APENAS PARA DENTES TRATADOS ENDODONTICAMENTE;2013-04-01;
3065;PROCEDIMENTO AUTORIZADO SOMENTE PARA DENTES ANTERIORES;2013-04-01;
3066;PROCEDIMENTO EM DESACORDO COM O ANEXO GUIA TRATAMENTO ODONTOLÓGICO SITUAÇÃO INICIAL;2013-04-01;
3067;RADIOGRAFIA FINAL NÃO ENVIADA;2013-04-01;
3068;RADIOGRAFIA FINAL SEM DISSOCIAÇÃO DOS CONDUTOS;2013-04-01;
3072;RADIOGRAFIA INDICA CANAL(AIS) NÃO OBTURADO(S);2013-04-01;
3074;RADIOGRAFIA INDICA EXCESSO DE MATERIAL;2013-04-01;
3075;RADIOGRAFIA INDICA FALHA NA OBTURAÇÃO DO(S) CONDUTO(S);2013-04-01;
3076;RADIOGRAFIA INDICA FALTA DE ADAPTAÇÃO DA COROA/NÚCLEO;2013-04-01;
3077;RADIOGRAFIA INDICA FALTA DE ADAPTAÇÃO DA COROA/PEÇA PROTÉTICA;2013-04-01;
3078;RADIOGRAFIA INDICA NÚCLEO INADEQUADO;2013-04-01;
3079;RADIOGRAFIA INDICA TRATAMENTO ENDODÔNTICO E NÃO RETRATATAMENTO  ENDODÔNTICO;2013-04-01;2026-06-30
3080;RADIOGRAFIA INICIAL E FINAL NÃO ENVIADAS;2014-05-01;
3081;RADIOGRAFIA INICIAL NÃO ENVIADA;2013-04-01;
3082;RADIOGRAFIA/IMAGEM INDICA FALHA NA RESTAURAÇÃO;2013-04-01;
3083;REAVALIAR O PLANO DE TRATAMENTO OBSERVANDO CRITÉRIOS DE INDICAÇÃO, OPORTUNIDADE E VIABILIDADE.;2013-04-01;2026-06-30
3084;RELATÓRIO ANALISE TÉCNICA SEM CARIMBO/ASSINATURA DO  PRESTADOR;2013-04-01;2026-06-30
3085;RADIOGRAFIA NÃO CORRESPONDE AO PROCEDIMENTO SOLICITADO;2013-04-01;
3086;TRATAMENTO ODONTOLÓGICO NÃO CARACTERIZADO COMO URGÊNCIA.;2013-04-01;2026-06-30
3087;COBRANÇA INDEVIDA DE TAXA ADMINISTRATIVA;2016-05-01;2026-06-30
3088;VALOR ACATADO, CONFORME REAJUSTE RETROATIVO;2016-05-01;
3089;QUANTIDADE DE ITENS INCOMPATÍVEL COM O PERÍODO DE INTERNAÇÃO;2016-05-01;2026-06-30
3090;NECESSÁRIO ENVIAR AS ETIQUETAS E SELOS HEMOTERÁPICOS DO MATERIAL UTILIZADO;2016-05-01;
3091;COBRANÇA FORA DO PRAZO ESTIPULADO NO CONTRATO;2016-05-01;2026-06-30
3092;VALOR ACATADO POR GLOSA REALIZADA INDEVIDAMENTE, APÓS AVALIAÇÃO DO RECURSO;2016-05-01;2026-06-30
3093;VALOR ACATADO POR AUTORIZAÇÃO ESPECIAL;2016-05-01;
3094;VALOR DA TAXA ADMINISTRATIVA ALTERADO EM RAZÃO DE GLOSAS;2016-05-01;
3095;RECURSO DE GLOSA ACATADO;2016-05-01;
3096;ATENDIMENTO NÃO CONFIRMADO PELO BENEFICIÁRIO;2016-05-01;
3097;TIPO DE ATENDIMENTO INCOMPATÍVEL COM A SEGMENTAÇÃO ASSISTENCIAL CONTRATADA;2016-05-01;
3098;O PRESTADOR POSSUI PACOTE CONTRATADO PARA ESTE PROCEDIMENTO. VERIFIQUE O CÓDIGO CORRESPONDENTE;2016-05-01;
3100;PARA LIBERAR ESTE ACESSO, ENTRE EM CONTATO COM A OPERADORA E SOLICITE O CADASTRAMENTO DO SEU CÓDIGO DE ORIGEM;2016-05-01;
3101;O PROCEDIMENTO SOLICITADO É DE EXECUÇÃO ÚNICA E JÁ FOI REALIZADO PELO BENEFICIÁRIO;2016-05-01;
3102;É NECESSÁRIO TER UM PROCEDIMENTO RELACIONADO À SOLICITAÇÃO;2016-05-01;
3103;SOLICITAÇÃO DE AUTORIZAÇÃO FORA DO PRAZO ACORDADO;2016-05-01;
3104;RECUSADO, CONFORME JUNTA MÉDICA/ODONTOLÓGICA;2016-05-01;
3105;ITEM COM UTILIZAÇÃO SUSPENSA PELO ÓRGÃO COMPETENTE;2016-05-01;
3106;REGISTRO ANVISA INVÁLIDO OU NÃO INFORMADO;2016-05-01;
3107;ITEM CATEGORIZADO COMO NÃO DESCARTÁVEL;2016-05-01;
3108;ITEM INCLUSO NO PACOTE NEGOCIADO;2016-05-01;
3109;PROCEDIMENTO SOLICITADO NÃO AUTORIZADO POR NÃO CONSTAR DO ROL DE PROCEDIMENTOS E EVENTOS EM SAÚDE DA ANS;2016-05-01;
3110;BLOQUEIO JUDICIAL;2016-05-01;
3111;CAMPO CONDICIONADO NÃO PREENCHIDO OU INCORRETO;2016-05-01;
3112;DESCONTO DE COPARTICIPAÇÃO/FRANQUIA CONFORME CONTRATO;2016-05-01;
3113;NECESSÁRIO ENVIO DE  RADIOGRAFIA  PERIAPICAL DA REGIÃO;2016-05-01;
3114;NECESSÁRIO ENVIO DE RADIOGRAFIA INTERPROXIMAL DA REGIÃO;2016-05-01;
3115;NECESSÁRIO ENVIO DE RADIOGRAFIA OCLUSAL DA REGIÃO;2016-05-01;
3116;REALIZAÇÃO DE PROCEDIMENTO COM NECESSIDADE ESTÉTICA;2016-05-01;2026-06-30
3117;PROCEDIMENTO ODONTOLÓGICO COM INDICAÇÃO TÉCNICA EM PROGNÓSTICO DESFAVORÁVEL;2016-05-01;
3118;NECESSÁRIO ENVIAR TERMO DE CONSENTIMENTO INFORMADO;2016-05-01;
3119;NECESSÁRIO ENVIAR TERMO DE RESPONSABILIDADE PROFISSIONAL;2016-05-01;
3120;NECESSÁRIO O ENVIO DO PEDIDO DO PROFISSIONAL SOLICITANTE;2016-05-01;
3121;ITEM AUTORIZADO E AINDA NÃO INDENIZADO;2016-05-01;2026-06-30
3122;SOLICITAÇÃO DE REEMBOLSO EM PLANO SEM DIREITO À LIVRE ESCOLHA;2016-05-01;
3123;ITEM PARA A MESMA FINALIDADE JÁ AUTORIZADO;2016-05-01;
3124;RADIOGRAFIA SUGERE INDICAÇÃO DE EXODONTIA;2016-05-01;
3126;COBRANÇA DE ITEM ANTERIOR À DATA DE REALIZAÇÃO;2016-05-01;
3127;IMAGEM SUGERE ALTERAÇÃO PATOLÓGICA;2016-05-01;
3128;IMAGEM SUGERE PRESENÇA DE ARTEFATO DE IMAGEM;2016-05-01;
3129;IMAGEM SUGERE PRESENÇA DE CORPO ESTRANHO;2016-05-01;
3130;IMAGEM SUGERE IMPLANTE EM PROCESSO DE OSSEOINTEGRAÇÃO;2016-05-01;
3131;ENVIAR PLANO DE TRATAMENTO ORTODÔNTICO INICIAL;2016-05-01;
3132;ENVIAR PLANO DE TRATAMENTO ORTODÔNTICO INTERMEDIÁRIO;2016-05-01;
3133;TRATAMENTO ORTODÔNTICO CONCLUÍDO;2016-05-01;
3134;TRATAMENTO ORTODÔNTICO EM  FASE DE CONTENÇÃO;2016-05-01;
3136;PROCEDIMENTO OU ITEM ASSISTENCIAL AUTORIZADO;2016-05-01;
3137;PROCEDIMENTO PREVÊ COPARTICIPAÇÃO/FRANQUIA CONFORME CONTRATO;2016-05-01;2026-06-30
3138;CONDIÇÃO CLÍNICA INCOMPATÍVEL COM A SOLICITAÇÃO;2016-05-01;
3140;ABANDONO DE TRATAMENTO PELO BENEFICIÁRIO;2016-05-01;
3141;BENEFICIÁRIO NÃO POSSUI COBERTURA PARA ASSISTÊNCIA AMBULATORIAL;2016-05-01;2026-06-30
3142;ITEM NÃO CONTRATADO;2016-05-01;
3143;VALOR ACATADO POR DECISÃO JUDICIAL /LIMINAR;2016-05-01;
